nohup: ignoring input
==============================================================
🦅 KIMIA GLOBAL — از رکورد تو به قدرت جهانی
==============================================================
👑 Owner: COMMANDER
🏛️  Official: KIMIA
🔐 Master Hash: 912a0c32a9158794
🔐 Signature: 8764a02e7f7710ee5277be777e659eaa
💼 Wallet: TKr9W9EBV7bPuyMuJiLbM4uJqUK5ei6B28

✅ API HTML: /data/data/com.termux/files/home/KIMIA_GLOBAL/api/index.html
✅ WIPO: /data/data/com.termux/files/home/KIMIA_GLOBAL/wipo/submission.txt
✅ Agent Report: /data/data/com.termux/files/home/KIMIA_GLOBAL/agent/report.txt
✅ Identity: /data/data/com.termux/files/home/KIMIA_GLOBAL/identity/identity.json

==============================================================
🎯 شروع شکار خودمختار...
==============================================================

[171] منابع:8/7 | BTC:$76610.0000 | USDT:229020.000 | ARB:0.0785% | فرصت:0
[174] منابع:10/7 | BTC:$76614.0000 | USDT:229020.000 | ARB:0.0733% | فرصت:0
[177] منابع:10/7 | BTC:$76600.0000 | USDT:229020.000 | ARB:0.0915% | فرصت:0
[180] منابع:9/7 | BTC:$76610.0000 | USDT:229020.000 | ARB:0.0785% | فرصت:0
[183] منابع:9/7 | BTC:$76614.8000 | USDT:229020.000 | ARB:0.0722% | فرصت:0
[186] منابع:9/7 | BTC:$76608.1800 | USDT:229020.000 | ARB:0.0809% | فرصت:0
[189] منابع:9/7 | BTC:$76594.0100 | USDT:229020.000 | ARB:0.0994% | فرصت:0
[192] منابع:9/7 | BTC:$76588.0600 | USDT:229020.000 | ARB:0.1071% | فرصت:0
[195] منابع:10/7 | BTC:$76582.0000 | USDT:229020.000 | ARB:0.1151% | فرصت:0
[198] منابع:9/7 | BTC:$76580.5300 | USDT:229020.000 | ARB:0.1170% | فرصت:0
[201] منابع:9/7 | BTC:$76576.0000 | USDT:229020.000 | ARB:0.1229% | فرصت:0
[204] منابع:9/7 | BTC:$76578.0100 | USDT:229020.000 | ARB:0.1203% | فرصت:0
[207] منابع:9/7 | BTC:$76578.0000 | USDT:229020.000 | ARB:0.1203% | فرصت:0
[210] منابع:9/7 | BTC:$76582.8300 | USDT:229020.000 | ARB:0.1140% | فرصت:0
[213] منابع:10/7 | BTC:$76602.0100 | USDT:229020.000 | ARB:0.0889% | فرصت:0
[216] منابع:10/7 | BTC:$76614.7700 | USDT:229020.000 | ARB:0.0722% | فرصت:0
[219] منابع:9/7 | BTC:$76614.7800 | USDT:229020.000 | ARB:0.0722% | فرصت:0
[222] منابع:9/7 | BTC:$76624.2500 | USDT:229020.000 | ARB:0.0599% | فرصت:0
[225] منابع:9/7 | BTC:$76678.0000 | USDT:229020.000 | ARB:-0.010% | فرصت:0
[228] منابع:9/7 | BTC:$76692.0100 | USDT:229020.000 | ARB:-0.028% | فرصت:0
[231] منابع:9/7 | BTC:$76748.0100 | USDT:229020.000 | ARB:-0.101% | فرصت:0
[234] منابع:10/7 | BTC:$76728.1100 | USDT:229020.000 | ARB:-0.075% | فرصت:0
[237] منابع:9/7 | BTC:$76743.8400 | USDT:229020.000 | ARB:-0.096% | فرصت:0
[240] منابع:9/7 | BTC:$76762.7600 | USDT:229020.000 | ARB:-0.120% | فرصت:0
[243] منابع:9/7 | BTC:$76757.5700 | USDT:229020.000 | ARB:-0.113% | فرصت:0
[246] منابع:7/7 | BTC:$76743.8500 | USDT:— | ARB:0% | فرصت:0
[249] منابع:9/7 | BTC:$76724.0100 | USDT:229020.000 | ARB:-0.070% | فرصت:0
[252] منابع:10/7 | BTC:$76709.2400 | USDT:229020.000 | ARB:-0.050% | فرصت:0
[255] منابع:9/7 | BTC:$76727.8600 | USDT:229020.000 | ARB:-0.075% | فرصت:0
[258] منابع:9/7 | BTC:$76704.0000 | USDT:229001.000 | ARB:-0.180% | فرصت:0
[261] منابع:9/7 | BTC:$76683.6900 | USDT:229001.000 | ARB:-0.154% | فرصت:0
[264] منابع:9/7 | BTC:$76682.0000 | USDT:229001.000 | ARB:-0.151% | فرصت:0
[267] منابع:9/7 | BTC:$76703.4500 | USDT:229001.000 | ARB:-0.179% | فرصت:0
[270] منابع:10/7 | BTC:$76703.4500 | USDT:229001.000 | ARB:-0.179% | فرصت:0
[273] منابع:10/7 | BTC:$76703.4400 | USDT:229001.000 | ARB:-0.179% | فرصت:0
[276] منابع:9/7 | BTC:$76712.0100 | USDT:229001.000 | ARB:-0.190% | فرصت:0
[279] منابع:9/7 | BTC:$76728.0000 | USDT:229001.000 | ARB:-0.211% | فرصت:0
[282] منابع:9/7 | BTC:$76726.0000 | USDT:229001.000 | ARB:-0.209% | فرصت:0
[285] منابع:9/7 | BTC:$76723.5300 | USDT:229001.000 | ARB:-0.205% | فرصت:0
[288] منابع:10/7 | BTC:$76728.0000 | USDT:229001.000 | ARB:-0.211% | فرصت:0
[291] منابع:10/7 | BTC:$76730.0000 | USDT:229001.000 | ARB:-0.214% | فرصت:0
[294] منابع:9/7 | BTC:$76733.2900 | USDT:229001.000 | ARB:-0.218% | فرصت:0
[297] منابع:9/7 | BTC:$76730.8300 | USDT:229001.000 | ARB:-0.215% | فرصت:0
[300] منابع:9/7 | BTC:$76730.8400 | USDT:229001.000 | ARB:-0.215% | فرصت:0
[303] منابع:9/7 | BTC:$76725.6200 | USDT:229001.000 | ARB:-0.208% | فرصت:0
[306] منابع:10/7 | BTC:$76722.0000 | USDT:229001.000 | ARB:-0.203% | فرصت:0
[309] منابع:10/7 | BTC:$76722.0100 | USDT:229001.000 | ARB:-0.203% | فرصت:0
[312] منابع:9/7 | BTC:$76725.6200 | USDT:229001.000 | ARB:-0.208% | فرصت:0
[315] منابع:7/7 | BTC:$76725.6200 | USDT:— | ARB:0% | فرصت:0
[318] منابع:8/7 | BTC:$76730.9200 | USDT:229001.000 | ARB:-0.215% | فرصت:0
[321] منابع:9/7 | BTC:$76740.0000 | USDT:229001.000 | ARB:-0.227% | فرصت:0
[324] منابع:9/7 | BTC:$76748.3700 | USDT:229001.000 | ARB:-0.238% | فرصت:0
[327] منابع:10/7 | BTC:$76751.2200 | USDT:229001.000 | ARB:-0.241% | فرصت:0
[330] منابع:9/7 | BTC:$76751.2200 | USDT:229001.000 | ARB:-0.241% | فرصت:0
[333] منابع:9/7 | BTC:$76751.2200 | USDT:229001.000 | ARB:-0.241% | فرصت:0
[336] منابع:9/7 | BTC:$76750.4900 | USDT:229001.000 | ARB:-0.240% | فرصت:0
[339] منابع:9/7 | BTC:$76732.3600 | USDT:229001.000 | ARB:-0.217% | فرصت:0
[342] منابع:9/7 | BTC:$76732.3700 | USDT:229001.000 | ARB:-0.217% | فرصت:0
[345] منابع:6/7 | BTC:$76706 | USDT:— | ARB:0% | فرصت:0
[348] منابع:10/7 | BTC:$76720.0100 | USDT:228971.000 | ARB:0.0272% | فرصت:0
